VD,MF,BC,MS,FT,VD_rank,FT_rank
0.0,0.0,0.0,0.0,0.0,8.0,0.0
0.0,0.0,0.0,1.0,0.0,5.0,0.0
0.0,0.5,0.0,0.0,0.0,9.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,2.0,1.5,1.5,1.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,5.5,0.0
1.0,1.0,0.0,0.0,0.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,5.333333333333333,0.0
1.0,0.5,0.5,1.0,0.0,9.0,1.0
0.0,0.0,0.0,0.0,0.0,8.0,0.0
0.5,1.0,0.5,0.5,1.0,5.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,8.0,0.0
1.0,1.0,1.0,0.0,1.0,10.0,3.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0
0.5,0.0,0.5,1.0,0.5,9.5,1.0
1.0,1.0,0.5,0.5,1.0,9.0,1.0
0.6666666666666666,0.0,0.0,0.0,0.0,9.666666666666666,1.0
1.0,1.0,0.5,1.0,1.0,7.5,6.0
1.0,1.0,1.0,1.0,1.0,9.0,1.0
1.0,1.0,0.0,0.0,0.0,7.666666666666667,0.0
0.0,0.0,0.0,0.0,0.0,7.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.5,1.0,1.0,8.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.5,0.0,0.0,0.0,0.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,9.5,0.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0
1.5,0.5,0.5,1.0,1.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,9.5,0.0
1.0,1.0,1.0,1.0,1.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0
2.0,2.0,2.0,2.0,2.0,2.0,1.0
1.5,2.0,2.0,1.0,1.0,9.0,1.0
1.0,1.0,1.0,1.0,1.0,5.333333333333333,0.0
1.0,1.0,1.0,1.0,1.0,5.0,1.0
1.0,0.5,0.0,0.0,1.0,10.0,0.0
0.5,0.5,0.5,1.0,1.0,5.0,0.0
0.0,0.5,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,6.5,0.0
8.25,1.5,6.5,1.8,1.0,8.666666666666666,2.0
0.0,0.0,0.0,0.0,0.0,9.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,8.0,0.0
0.0,0.0,0.0,0.0,0.0,8.0,0.0
2.5,2.0,2.0,1.5,2.0,7.5,1.0
1.0,1.0,1.0,1.0,1.0,6.4,0.0
0.5,0.5,1.0,0.5,1.0,9.0,0.0
1.0,1.0,1.0,0.0,0.5,9.0,1.0
0.5,1.0,1.5,1.0,1.0,8.5,1.0
1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.5,1.0,1.0,1.0,1.0,6.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,5.0,0.0
1.0,1.0,0.5,0.5,1.0,9.0,0.0
2.0,2.0,2.0,2.5,2.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,8.5,0.0
1.0,0.5,0.5,0.5,0.0,4.0,1.0
1.0,1.0,0.5,0.0,0.0,9.0,1.0
5.5,9.0,10.0,8.5,7.0,8.666666666666666,8.5
0.0,0.0,0.0,0.5,0.0,8.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0
2.0,2.0,2.0,2.0,2.0,7.5,1.0
0.0,0.0,0.0,0.0,0.0,8.5,0.0
1.5,3.0,0.0,0.0,0.0,10.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2.0,2.0,1.5,2.0,9.0,0.0
2.0,1.5,2.0,2.0,2.0,10.0,7.0
2.0,0.5,1.0,1.0,0.5,9.0,1.0
1.0,1.0,1.0,1.0,1.0,5.0,0.0
0.5,0.5,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,9.5,1.0
1.25,0.5,2.0,0.5,0.0,5.0,0.0
2.0,1.0,3.0,1.5,2.0,6.0,0.0
0.0,0.0,0.0,0.0,0.0,7.666666666666667,0.0
0.0,1.0,1.0,0.5,0.0,9.0,0.0
1.0,1.0,1.0,1.0,1.0,3.0,0.0
2.0,2.0,2.0,1.0,1.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,6.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,1.5,1.0,0.5,1.0,7.6,0.0
1.5,1.5,1.5,1.0,1.0,6.0,0.0
2.5,2.0,0.0,0.0,0.0,10.0,2.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,1.0,0.0,0.0,0.0,9.5,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,7.0,0.0
1.0,1.0,1.0,1.0,1.0,0.5,0.0
0.0,0.0,0.0,0.0,0.0,8.0,1.0
2.0,1.0,2.0,0.0,0.0,3.0,1.5
0.0,0.0,0.0,0.0,0.0,10.0,0.0
0.0,0.0,0.0,0.0,1.0,9.0,0.0
2.0,2.0,2.0,2.0,1.0,10.0,2.0
1.0,1.0,1.0,1.0,1.0,7.5,0.0
1.0,1.5,1.0,1.0,1.0,7.5,0.0
5.0,5.0,2.0,1.5,2.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,8.0,0.0
3.3333333333333335,3.3333333333333335,1.5,1.5,2.0,8.0,1.0
1.0,1.0,1.0,1.0,1.0,10.0,0.0
1.5,2.0,2.0,2.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,8.5,0.0
2.0,2.0,2.0,2.0,2.0,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.5,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,9.0,1.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0
0.5,0.5,0.5,1.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.5,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,3.0,0.0
1.0,1.0,1.0,1.0,1.0,9.0,0.5
0.5,0.5,0.5,0.5,1.0,7.5,2.0
2.0,0.5,0.5,0.5,0.0,9.0,0.0
1.0,1.0,1.0,1.0,1.0,6.0,0.0
1.0,1.0,1.0,1.0,1.0,7.0,0.0
0.0,0.0,0.5,0.0,0.0,7.5,0.0
1.5,1.5,2.0,2.0,2.0,4.5,2.0
1.0,0.0,0.0,0.5,1.0,9.285714285714286,1.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0
1.0,1.0,0.5,0.5,1.0,8.0,1.0
0.0,0.0,0.0,0.0,0.0,9.0,1.0
1.5,0.0,0.0,0.0,0.0,9.0,1.0
1.0,2.0,2.0,1.0,2.0,7.0,1.0
1.0,1.0,1.0,0.0,0.5,9.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0
0.0,0.5,1.0,0.0,0.5,7.0,0.0
2.0,3.3333333333333335,2.0,2.0,2.0,6.4,1.0
1.0,3.0,1.5,0.5,0.0,9.0,0.0
1.3333333333333333,1.5,1.5,1.0,1.0,6.0,1.0
1.5,2.0,0.5,1.0,1.0,10.0,5.0
0.0,0.0,0.0,0.5,0.0,7.0,1.0
0.5,0.5,0.0,0.0,0.0,9.666666666666666,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,2.5,5.333333333333333,4.0,2.5,8.5,0.0
0.0,0.0,0.5,0.5,1.0,8.0,1.0
0.0,0.0,0.5,0.5,0.5,6.666666666666667,1.0
4.0,4.0,4.0,4.0,4.0,7.0,2.0
1.0,1.5,1.5,1.5,1.0,10.0,1.0
0.0,0.0,0.0,1.0,0.5,6.0,1.0
0.0,0.0,0.0,0.0,0.0,9.5,0.0
0.0,0.0,0.0,0.0,0.0,10.0,1.0
1.6666666666666667,1.6666666666666667,1.0,2.0,1.0,8.0,0.0
0.0,0.5,0.0,1.0,1.0,9.5,0.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0
1.5,1.0,1.0,1.0,0.0,7.5,0.0
0.0,0.0,0.0,0.0,0.0,8.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,8.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.5,1.0,0.0,7.0,0.0
1.0,0.5,0.5,0.5,1.0,8.0,0.0
2.0,2.0,2.0,1.0,1.0,8.333333333333334,1.0
0.5,0.5,1.0,1.0,1.0,1.0,1.0
5.0,0.5,2.0,2.5,2.0,8.5,7.0
8.0,8.0,0.0,0.0,2.0,8.0,0.0
0.0,0.0,0.0,0.5,1.0,9.5,1.0
0.0,0.0,0.0,0.0,0.0,6.0,0.0
0.0,0.0,0.0,0.0,0.0,5.0,0.0
2.0,1.5,2.5,1.5,2.0,7.0,2.0
0.0,0.0,0.0,0.0,0.0,4.5,0.0
1.0,1.0,1.0,1.0,1.0,4.666666666666667,0.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0
1.0,1.0,1.0,1.0,1.0,10.0,0.0
1.0,0.6666666666666666,0.0,0.0,0.0,9.0,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.5,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.5,0.0,0.0,5.0,0.0
1.0,1.0,1.0,1.0,1.0,10.0,1.0
1.5,1.5,1.5,1.5,1.5,9.5,1.0
1.0,1.0,0.5,0.5,0.0,7.0,1.0
1.0,1.0,1.0,1.0,1.0,9.0,1.0
0.0,0.0,0.0,0.0,0.0,7.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1.5,3.0,2.0,2.0,10.0,1.0
1.5,1.0,1.5,1.0,0.5,9.0,0.0
0.0,0.0,0.0,0.0,0.0,5.0,0.0
1.0,1.0,1.0,1.0,1.0,7.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,5.666666666666667,0.0
1.0,1.0,2.0,2.0,2.0,1.0,0.0
1.0,1.0,1.0,1.0,1.0,10.0,1.0
9.0,9.5,7.0,7.0,8.5,9.0,6.0
0.0,1.0,1.0,1.0,1.0,9.0,1.0
0.0,0.0,0.0,0.0,0.0,7.5,0.0
3.0,3.6666666666666665,2.5,2.5,2.0,7.5,2.0
0.0,0.0,0.0,0.0,0.0,9.5,1.0
0.5,0.5,0.5,0.0,0.0,7.0,1.0
1.5,2.0,2.0,1.0,1.0,6.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,6.0,0.0
0.5,1.0,1.0,1.0,0.0,9.0,0.0
1.0,1.0,1.0,1.0,1.0,9.5,0.0
0.0,0.0,0.5,0.0,0.0,9.0,1.0
0.0,0.0,0.0,0.0,0.0,7.5,1.0
0.6666666666666666,0.5,0.0,0.0,0.0,8.0,0.0
1.0,1.0,1.0,1.0,1.0,3.6666666666666665,0.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0
1.0,1.0,0.5,0.0,0.0,9.0,0.0
1.0,1.0,1.0,0.5,0.0,7.5,0.0
1.0,1.0,0.0,0.0,1.0,9.0,1.0
0.0,0.0,0.0,0.0,0.0,8.5,0.0
0.0,0.0,0.0,0.0,0.0,8.0,0.0
0.6666666666666666,1.0,0.5,1.0,1.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,8.0,0.0
3.0,3.0,2.0,2.5,2.0,8.0,2.0
0.0,0.0,0.0,0.0,0.0,10.0,1.0
2.0,2.0,1.5,1.5,2.0,10.0,1.0
0.0,0.5,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,9.0,1.0
0.0,0.0,0.0,0.5,0.0,9.0,1.0
2.0,2.0,2.0,2.0,2.0,9.0,1.0
1.0,1.0,0.0,0.0,1.0,5.0,1.0
1.0,0.6666666666666666,1.0,1.0,0.5,7.5,0.0
0.5,0.5,0.0,0.0,0.0,8.5,0.0
0.0,0.0,0.0,0.0,0.0,8.0,0.0
2.0,1.5,1.5,1.0,1.5,7.0,0.0
0.0,0.0,0.0,0.0,0.0,7.5,0.0
0.5,0.5,1.0,1.0,1.0,8.0,0.0
2.3333333333333335,1.0,1.6666666666666667,2.0,3.0,8.0,1.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0
1.5,1.25,1.0,1.0,1.0,9.5,1.0
0.0,0.0,0.0,0.0,0.0,8.5,1.0
2.0,2.5,2.0,2.0,2.0,4.0,0.0
0.0,0.0,0.0,0.0,0.0,7.5,0.0
0.5,0.0,0.5,0.0,0.0,10.0,0.0
1.0,1.0,1.0,1.0,1.0,8.0,1.0
0.5,1.0,0.0,0.0,0.0,8.5,0.0
0.5,0.5,0.5,0.5,0.5,9.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0
0.0,0.5,0.5,0.5,1.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,0.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,1.0,0.5,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0
3.0,2.5,1.0,1.0,2.0,9.666666666666666,1.0
0.6666666666666666,0.0,0.5,0.5,0.0,6.0,1.0
1.0,1.0,1.0,1.0,1.0,8.5,1.0
0.0,0.0,0.0,0.0,0.0,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0
0.5,0.5,0.5,0.5,0.5,8.5,6.0
2.0,3.0,3.0,2.5,2.5,8.0,0.0
2.5,3.0,2.0,4.0,2.0,8.0,5.0
1.5,1.5,1.5,1.0,1.0,4.0,1.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0
0.5,0.5,0.0,0.0,0.0,9.0,0.0
1.0,1.0,1.5,1.0,2.0,7.0,2.0
0.0,0.0,0.0,0.0,0.0,8.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,7.0,0.0
2.0,2.0,1.0,1.0,1.0,9.0,0.0
1.0,1.0,1.0,1.0,1.0,10.0,0.0
9.5,4.0,9.5,4.0,1.0,9.0,2.0
3.0,3.5,3.0,3.3333333333333335,3.0,0.0,0.0
3.0,3.0,3.5,3.5,4.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0
1.5,1.5,1.0,1.0,1.0,10.0,0.0
1.0,0.5,0.0,0.0,0.0,9.0,0.0
0.5,0.5,1.0,1.0,1.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,8.5,0.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0
2.5,2.0,0.0,2.0,2.0,1.0,1.0
1.0,1.5,1.0,1.0,1.5,8.0,1.0
3.5,3.0,2.5,3.0,3.0,8.5,1.0
1.0,1.0,1.0,1.0,1.0,10.0,1.0
0.5,0.5,0.0,0.5,0.0,2.0,1.0
2.0,0.5,0.5,0.5,0.0,10.0,0.0
2.0,1.5,1.0,1.0,1.0,10.0,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0
1.0,0.5,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,7.5,0.0
1.5,2.0,1.5,1.5,1.5,8.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,1.5,2.0,2.0,2.0,7.0,1.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0
1.0,1.0,1.0,1.0,1.0,7.5,0.0
1.0,1.0,1.0,1.0,1.0,7.0,1.0
1.0,1.0,1.5,1.5,2.0,8.5,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2.0,1.0,3.0,1.0,9.0,1.0
0.0,0.0,0.0,0.0,0.0,8.0,0.5
2.0,2.0,1.0,2.5,2.5,7.5,2.0
0.0,0.0,1.5,1.0,1.0,6.0,1.0
1.5,1.0,0.0,0.0,0.5,7.0,0.0
0.0,1.0,1.0,1.0,1.0,4.5,1.0
0.0,0.0,0.0,0.0,0.0,5.0,1.0
0.5,0.0,0.0,0.0,0.0,9.333333333333334,0.0
0.5,0.5,0.0,0.0,0.0,8.0,0.0
1.0,1.0,0.5,0.0,0.0,9.0,0.0
1.0,1.0,1.0,0.5,0.0,9.5,0.0
0.0,0.0,0.0,0.0,0.0,0.5,0.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0
0.0,0.0,1.5,1.0,1.0,6.6,0.0
1.5,2.0,1.0,1.5,1.0,9.0,2.0
0.0,0.0,0.0,0.0,0.0,8.0,0.0
1.0,1.0,1.0,1.0,1.0,9.5,0.5
0.5,0.5,0.0,0.0,0.0,7.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,8.0,0.0
1.0,1.0,1.0,1.0,1.0,0.5,0.0
1.0,1.0,1.0,1.0,1.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0
1.0,1.0,1.0,1.0,1.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0
1.0,1.0,0.5,0.5,0.0,8.0,1.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0
2.0,2.0,2.0,1.0,0.0,9.0,1.5
1.5,1.5,1.5,1.0,1.0,7.25,1.0
0.5,1.0,0.0,1.5,1.0,10.0,1.0
0.0,0.0,0.0,0.0,0.0,9.5,0.0
2.5,2.5,2.5,2.0,2.0,8.0,1.0
0.0,0.0,0.0,0.0,0.0,9.5,0.0
1.0,1.0,1.0,1.0,1.0,9.0,0.0
0.5,0.0,0.0,0.0,0.0,6.0,1.0
0.0,0.0,0.0,0.0,0.0,5.0,0.0
0.5,0.5,0.0,0.0,0.0,6.0,1.0
0.0,1.0,1.0,1.0,1.0,9.0,0.0
1.0,1.0,1.0,1.0,1.0,9.5,2.0
0.0,0.0,0.0,0.0,0.0,8.5,0.0
1.0,1.0,1.0,1.0,1.0,10.0,0.5
1.5,1.5,1.5,1.5,1.5,9.0,1.0
2.0,2.0,2.0,1.5,2.0,6.0,0.5
0.5,0.5,0.5,0.5,0.5,5.0,0.0
1.0,1.0,1.0,1.0,1.0,2.0,2.0
3.0,3.0,2.0,1.0,1.0,7.0,0.0
1.0,1.0,1.0,1.0,1.0,9.5,1.0
0.5,0.5,0.0,0.0,0.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,7.5,0.0
0.0,0.0,0.0,0.0,0.0,8.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0
1.0,0.5,1.0,0.0,0.0,8.333333333333334,1.0
1.0,0.5,0.5,0.0,0.0,0.0,0.0
3.0,3.0,2.0,2.5,2.5,6.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,5.0,1.0
0.0,0.0,0.0,0.0,0.0,2.0,0.0
1.0,1.0,1.0,0.0,0.0,7.0,1.0
0.0,0.0,0.0,0.5,0.0,10.0,0.0
0.0,0.0,1.0,1.0,1.0,8.0,0.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0
1.0,1.0,0.0,0.0,0.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0
2.0,1.0,1.0,1.0,1.5,9.0,2.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,7.5,0.0
1.0,1.0,1.0,1.0,1.0,5.0,0.0
1.0,0.5,0.5,0.0,0.0,9.5,0.0
0.0,0.0,2.0,0.5,0.0,9.0,1.0
1.0,1.0,1.5,1.0,1.0,9.0,0.0
3.0,2.0,3.1666666666666665,3.5,4.0,4.5,1.0
2.0,3.0,3.0,3.0,3.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,8.0,0.0
2.0,2.0,2.0,2.0,1.0,9.5,1.5
1.0,1.0,1.0,1.0,1.0,9.0,1.0
1.0,1.0,0.5,1.0,0.5,8.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0
0.5,0.5,1.0,1.0,1.0,9.666666666666666,1.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0
0.5,0.0,0.5,0.5,0.0,5.0,0.0
2.5,2.5,2.5,2.0,2.0,8.0,2.0
0.0,0.0,0.0,0.5,0.0,9.0,1.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,10.0,0.0
1.0,1.0,1.0,1.0,1.0,7.0,1.5
1.5,1.5,1.5,1.5,2.0,10.0,0.0
1.0,1.0,1.0,1.0,1.0,8.5,1.0
1.0,1.0,1.0,1.0,1.0,9.0,1.0
0.5,0.5,0.0,0.0,0.0,9.5,0.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0
1.0,1.0,1.0,1.5,1.0,6.0,2.0
1.0,1.0,1.0,1.0,1.0,10.0,0.0
10.0,4.333333333333333,10.0,6.0,1.0,10.0,6.0
1.0,0.0,1.0,0.0,4.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,7.5,0.0
1.0,1.0,1.0,1.0,1.0,10.0,0.0
1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.5,0.5,0.0,0.5,0.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0
0.5,0.5,0.0,0.0,0.0,6.0,0.0
0.0,0.0,0.0,0.0,0.0,5.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,0.0,0.0,9.0,1.0
0.5,0.5,0.0,0.0,0.0,0.0,0.0
0.5,0.5,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0
1.5,2.0,1.0,1.0,1.0,9.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.5,0.5,0.0,8.5,5.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,10.0,1.0
1.0,1.0,1.0,1.0,1.0,5.0,0.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,7.0,0.0
0.0,0.0,0.0,0.0,0.0,8.0,1.0
0.0,0.0,0.0,0.0,0.0,7.0,0.0
2.0,0.5,1.0,1.0,1.0,6.666666666666667,1.0
0.0,0.0,0.0,0.0,0.0,9.0,1.0
2.5,3.0,2.5,1.0,1.0,10.0,0.5
1.0,1.0,1.0,1.0,1.0,8.5,0.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,6.0,1.0
1.5,1.5,1.6666666666666667,1.5,2.3333333333333335,5.0,0.0
0.0,0.0,0.0,0.0,0.0,7.0,0.0
1.0,1.0,1.0,1.0,1.0,8.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0,0.5,0.5,0.0,7.333333333333333,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.5,0.0,0.5,0.0,10.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,6.0,0.5
0.0,0.0,0.5,0.0,0.0,9.0,0.0
0.5,1.5,1.0,0.5,1.0,6.0,0.0
1.0,1.0,1.0,1.0,1.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0
1.0,1.0,1.0,0.0,0.0,8.0,0.0
0.0,0.0,0.5,0.5,0.5,8.333333333333334,0.0
1.0,0.5,0.0,0.0,0.0,6.0,0.0
0.0,0.0,0.0,0.0,0.0,6.0,0.0
1.0,1.0,1.0,1.0,1.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0
1.0,1.0,1.0,0.5,1.0,9.0,1.0
2.0,2.0,2.5,2.0,1.5,10.0,1.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,0.0,0.5,1.0,0.0
1.5,1.5,0.5,0.0,1.0,8.5,1.0
1.0,1.5,1.0,1.0,1.0,9.0,0.0
1.0,1.0,0.5,0.5,1.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0
1.0,1.0,1.0,1.0,1.0,6.0,0.0
0.5,0.5,1.0,1.0,1.0,9.0,2.0
1.0,1.0,0.0,0.5,0.5,0.0,0.0
0.0,0.0,0.0,0.0,0.0,8.0,0.0
1.5,2.0,0.5,1.0,1.0,9.0,0.5
1.0,0.5,1.0,1.0,1.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,5.0,0.0
0.0,0.0,2.0,0.5,0.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,0.5,1.0,7.5,0.0
1.0,1.0,0.0,0.0,0.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.5
0.0,0.0,0.0,0.0,0.0,7.0,0.0
0.5,0.5,1.0,1.0,1.0,7.0,1.0
5.5,6.0,6.0,5.0,5.0,10.0,5.0
4.0,4.0,4.0,3.5,4.0,8.5,2.0
1.0,1.0,1.0,1.0,1.0,8.5,0.0
1.0,1.0,1.0,1.0,1.0,7.2,1.0
0.5,1.5,1.0,1.0,0.0,9.5,1.0
1.0,1.6,0.6666666666666666,0.5,1.0,9.0,1.0
1.0,1.0,1.0,1.0,1.0,0.0,0.0
1.5,1.5,1.5,1.0,1.0,7.75,0.0
1.0,1.0,0.0,0.5,0.5,8.0,0.0
7.666666666666667,7.5,9.0,0.5,1.0,10.0,6.5
0.0,0.0,0.0,0.0,0.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0
1.0,2.0,1.0,3.0,3.0,10.0,0.0
5.0,4.0,4.0,4.0,4.0,10.0,3.0
0.0,0.0,0.0,0.0,0.0,9.5,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.5,0.0,6.0,0.0
0.0,0.0,0.0,0.0,0.0,8.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,0.5,0.0,9.5,0.0
0.0,0.0,0.0,0.0,0.0,7.0,0.0
